Latitude,Longitude
28.6675475089914,77.228240437217
28.6572559558443,77.236908437391
28.6498937470987,77.2382544686047
28.6380484059185,77.241112480157
28.628354297093,77.2411124801574
28.6256042919779,77.2337690338238
28.6251166295613,77.2191390492601
28.615664820682,77.2121812085625
28.6021242609388,77.2289541024578
28.5890930180718,77.2333192875649
28.5835641241051,77.2396686480708
28.5705305808254,77.2364146007755
28.5639551146542,77.2342187803019
28.555613207706,77.2419702911638
28.5517956281695,77.2517365272509
28.5496112078828,77.2591705698671
28.544312638533,77.2643294251791
28.5432435965954,77.2752820718351
28.5380609135259,77.2832716836261
28.5276715388455,77.2895945881989
28.5197916658234,77.2945417981583
28.5032629396507,77.2993302740864
28.4939353802888,77.3038090132826
28.5032629396507,77.2993302740864
28.4576808023726,77.3073540727806
28.4487257037605,77.3092324252345
28.4380251109506,77.3089414128952
28.4232983953886,77.3105287529986
28.4107128168252,77.3135586742257
28.39767490548,77.3122855919576
28.3866754201732,77.3142406824796
28.3709941808693,77.3156046991044
28.3545904044458,77.3161048385226
28.3396647666747,77.3166049779429
