Latitude,Longitude
28.7448478539356,77.1383685881274
28.7384021963697,77.1398316264596
28.7300293250116,77.1491626602662
28.725972868358,77.1628092171955
28.7167055750442,77.1704954233222
28.707426965343,77.1805226622008
28.7032426049256,77.1936640876915
28.6984041602811,77.2058864065069
28.6952006340409,77.2145026488596
28.6871914122669,77.2217260757705
28.6774468579335,77.2248068748482
28.6677147938974,77.2282454282995
28.6588250511986,77.230391199103
28.6489639586614,77.2268660739027
28.6437593436577,77.2229868932665
28.6330774918237,77.2198711986145
28.6233744227042,77.2153708731613
28.615150484942,77.2122608673273
28.6107018678963,77.2118692790183
28.5977027169675,77.2111801597246
28.5859739815412,77.2125346376464
28.5746011754681,77.2096154924896
28.5678051456004,77.207757159564
28.5599742353936,77.2068422356073
28.5440350523448,77.2066240833407
28.5290331292961,77.2049768047325
28.5211210583893,77.2021289961954
28.5129649176868,77.1863813845228
28.5070303493943,77.174991625335
28.4992924945292,77.1623535127911
28.4937863676611,77.1491920192494
28.4808654582657,77.1259169570746
28.4821508551026,77.1022570558722
28.4815149238444,77.0933287912498
28.4796185079815,77.0800831052646
28.4722845947194,77.0722939640973
28.4591851213138,77.0725248674919
