Latitude  ,Longitude 
28.7243575624553,77.1820929132549
28.7047200410726,77.1805801473872
28.7019439560345,77.1652164540814
28.7019439560345,77.1652164540814
28.6857124857197,77.1496912751657
28.6729094199992,77.1391692690723
28.6584697739264,77.1274303997624
28.6504294916445,77.1244048679939
28.6370808951153,77.1296498764209
28.6240410753114,77.1364930415428
28.6096984305649,77.1417213700486
28.5897589011596,77.1693334800194
28.578472503235,77.1758688904757
28.5701025703441,77.1879594001873
28.5760939349529,77.1985885478581
28.5736718327594,77.2090078567825
28.5685704297392,77.2202398612579
28.5704221985848,77.2364151389886
28.5661512835371,77.2504912690702
28.5734764294232,77.2589745286949
28.5894674896371,77.2573299795035
28.6036670110152,77.2911126552036
28.6057874961898,77.2987174432206
28.6135928762245,77.3088347275148
28.6201833426101,77.3054847323687
28.6249946469717,77.3043780375996
28.6320897698445,77.3107938764401
28.6468152284629,77.3150905158317
28.6493895978837,77.3060834609547
28.6536655860263,77.2956068355452
28.6580589407936,77.2899999751524
28.664977332741,77.2847904433758
28.6721583351771,77.2756455250383
28.6828619044279,77.2748280362649
28.6924487823963,77.2796237469322
28.7025373557557,77.2860395910459
28.7134906383798,77.2899663450021
28.7216201684367,77.2894728185308
