Latitude,Longitude
28.6702450015627,77.415932869099
28.6735777900039,77.4063208131566
28.6769165557164,77.3917370913612
28.678733813854,77.383969543464
28.6782795022913,77.3702288113839
28.6778568850912,77.3583787848232
28.6770644732811,77.3467936977686
28.6766380183883,77.3337553234279
28.6759207316762,77.3215082582158
28.6757075791361,77.3127289025715
28.6753139451779,77.3010438663171
28.6734714110152,77.2897631369193
28.6719311275768,77.2776309695598
28.6697699774522,77.2668199499546
28.6683082288037,77.2502541001362
28.6674673211674,77.2282289989251
28.6669722041593,77.2166566399273
28.6664142123485,77.2073056006101
28.666606759153,77.1987785992558
28.6701361330898,77.1818675163701
28.6735672373194,77.1702315535257
28.6826115632853,77.1647098130837
28.6891167299987,77.1616518004907
28.6961963600887,77.1525874825639
28.6981256176491,77.1406570167833
28.7032356256878,77.1324279995405
28.7078090124698,77.1263447496238
28.7148757251001,77.1154978962732
28.7210104865974,77.1071294041744
