Latitude  ,Longitude 
28.6559023240662,77.1513169445278
28.6621041099557,77.1577485127785
28.6737363923969,77.1715803754653
28.6717878557429,77.1552582151866
28.673309698007,77.1461259624159
28.6753754924756,77.1304112953018
28.6767913506025,77.1195644714119
28.677255562241,77.1123949854173
28.6791820184472,77.1024476541779
28.6796926394602,77.0927648797487
28.6810852295321,77.080886284469
28.6819439842049,77.0739813552407
28.6827563132417,77.0648012384291
28.6824313823783,77.0569439049417
28.6823153353955,77.0440599945376
28.6820600316226,77.0302501357641
28.6843345344522,77.0173133140317
28.6851700536855,76.9960429567345
28.6868410722084,76.9772329767427
28.6879086534019,76.9640845097047
28.6893707577882,76.9510418653622
28.6907864267048,76.935512388018
28.6972843335304,76.9192156963988
